Gene name,Average UMI per cell (homeostatic microglia),Fold-change (DAM to homeostatic microglia),-log10(DAM) p-value (Mann-Whitney),DAM FDR p-value
36951,0.447647,-1.684508,2.573169,1.904672
37316,0.045,-0.275679,0.328337,0.350419
37500,0.278824,-0.483134,0.779269,0.580911
38412,0.084118,-0.118456,0.018269,0.215234
38777,0.111176,-0.381552,0.031189,0.220559
39142,0.101765,-1.193275,2.288546,1.666616
39326,0.317647,-0.814401,1.565157,1.108253
39508,0.046176,1.426085,0.342435,0.351723
39692,0.050588,-1.549909,0.265743,0.320746
40422,0.022647,-0.480628,0.579526,0.473592
42248,0.522353,0.222422,0.577568,0.472466
0610007C21Rik,0.292353,0.049786,0.32337,0.348232
0610007L01Rik,0.117353,-0.589114,0.197147,0.285776
0610007P14Rik,0.056176,-0.237672,0.671583,0.522811
0610007P22Rik,0.034118,-0.599754,0.082681,0.240342
0610009B22Rik,0.068235,0.400246,0.573366,0.471987
0610009D07Rik,0.134118,-0.082065,0.777291,0.57962
0610010F05Rik,0.036765,-1.811894,0.728029,0.552085
0610010K14Rik,0.111176,-0.295652,0.143541,0.268872
0610011L14Rik,0.062059,-1.397284,0.711797,0.546163
0610012G03Rik,0.076471,1.587671,4.354177,3.462817
0610030E20Rik,0.099412,-0.868478,1.275878,0.910433
0610031J06Rik,0.291176,0.77701,5.764088,4.766836
0610037L13Rik,0.066176,-1.522387,0.291984,0.331683
0610037P05Rik,0.042059,1.536277,1.358881,0.965844
0610040J01Rik,0.269118,-0.983298,4.411716,3.516102
0910001L09Rik,0.215588,-0.170007,0.009534,0.212059
1110001A16Rik,0.200588,-0.172275,0.025208,0.218636
1110002B05Rik,0.170882,-0.210881,0.239955,0.311221
1110002N22Rik,0.026765,-0.675833,0.163536,0.276303
1110003E01Rik,0.111471,0.640948,1.221963,0.875516
1110004F10Rik,0.117353,-0.522881,0.025823,0.218903
1110005A03Rik,0.048235,0.013569,0.125698,0.259659
1110007C09Rik,0.070588,0.201196,0.000226,0.208913
1110008F13Rik,0.238824,-0.369849,0.168939,0.27469
1110012L19Rik,0.025,-0.933573,0.663002,0.518649
1110014N23Rik,0.066176,-0.659891,0.12927,0.261471
1110018G07Rik,0.075882,-0.284447,0.618382,0.4933
1110018J18Rik,0.082059,-0.816426,0.042796,0.224006
1110020G09Rik,0.010294,0.510034,0.29008,0.331363
1110028C15Rik,0.108824,-0.432633,0.762984,0.571439
1110034B05Rik,0.025882,0.896092,0.657673,0.515738
1110037F02Rik,0.088235,0.261355,0.072117,0.23586
1110038B12Rik,0.025588,1.422442,2.819979,2.116677
1110038D17Rik,0.039412,-0.619417,0.066854,0.23527
1110038F14Rik,0.037941,-1.179265,0.351325,0.354612
1110049F12Rik,0.045588,-1.689275,0.708667,0.544622
1110054O05Rik,0.126176,-0.793931,0.105561,0.249938
1110057K04Rik,0.068824,-0.365977,0.21648,0.297508
1110058L19Rik,0.028529,-0.153241,0.34093,0.353716
1110059G10Rik,0.116471,-1.139183,1.061672,0.761658
1110067D22Rik,0.020588,-1.049393,0.099313,0.247649
1190005F20Rik,0.052647,0.26701,0.239307,0.31085
1190007F08Rik,0.064412,-0.51656,0.121335,0.257447
1200011I18Rik,0.051471,-0.891329,0.006255,0.210957
1200011M11Rik,0.034118,-1.502457,0.096586,0.246695
1200014J11Rik,0.187059,-2.526725,1.912769,1.367433
1200016B10Rik,0.059412,-1.578322,0.423516,0.39024
1300014I06Rik,0.061765,-1.154363,0.502799,0.434458
1300018I17Rik,0.079412,-1.36221,1.43305,1.015411
1300018J18Rik,0.079118,-0.581289,0.026403,0.219274
1500002O20Rik,0.048824,-0.543077,0.185874,0.281014
1500003O03Rik,0.070294,0.692647,1.832772,1.305745
1500010J02Rik,0.35,-1.255501,2.814916,2.112711
1500011K16Rik,0.087647,-0.05629,0.251812,0.316008
1500012F01Rik,0.065588,1.710542,5.198813,4.230804
1500032L24Rik,0.147353,-0.342289,0.00035,0.20897
1600012H06Rik,0.089412,-0.521148,0.173694,0.275937
1600014C10Rik,0.121765,-0.120058,0.319936,0.346642
1600020E01Rik,0.053529,-1.505908,0.349686,0.353943
1600027N09Rik,0.043235,-1.612823,0.183348,0.279709
1700003F12Rik,0.010294,1.128944,1.596512,1.130167
1700017B05Rik,0.553824,-1.035628,3.542145,2.745488
1700020I14Rik,0.148235,-0.479982,0.136851,0.264781
1700021F05Rik,0.022941,-0.499244,0.034005,0.220837
1700021K19Rik,0.074706,-0.781683,0.121672,0.257546
1700025K23Rik,0,NaN,NaN,NaN
1700052N19Rik,0.012353,1.439645,0.106205,0.250114
1700055D18Rik,0.013529,NaN,0.341113,0.35104
1700081L11Rik,0.125882,-0.73958,0.540475,0.455003
1700112E06Rik,0.004118,2.024607,0.945947,0.679726
1700123O20Rik,0.048824,-0.61234,0.461843,0.412181
1810006K21Rik,0.14,-0.814928,0.909098,0.662496
1810009A15Rik,0.048824,-0.61234,0.012278,0.212957
1810011H11Rik,0.099706,0.333711,0.022371,0.217606
1810013D10Rik,0.082059,-1.142412,0.311629,0.343519
